Precinct,Candidate,Affiliation,Votes
015-002,Chris Chaffee,REP,12
015-003,Chris Chaffee,REP,26
015-004,Chris Chaffee,REP,13
015-005,Chris Chaffee,REP,21
015-006,Chris Chaffee,REP,13
015-007,Chris Chaffee,REP,16
015-008,Chris Chaffee,REP,13
015-009,Chris Chaffee,REP,27
015-010,Chris Chaffee,REP,26
015-011,Chris Chaffee,REP,13
015-012,Chris Chaffee,REP,0
015-013,Chris Chaffee,REP,4
015-014,Chris Chaffee,REP,10
015-015,Chris Chaffee,REP,7
015-016,Chris Chaffee,REP,2
015-017,Chris Chaffee,REP,10
015-018,Chris Chaffee,REP,13
015-019,Chris Chaffee,REP,1
015-020,Chris Chaffee,REP,14
015-021,Chris Chaffee,REP,6
015-022,Chris Chaffee,REP,10
015-023,Chris Chaffee,REP,10
015-024,Chris Chaffee,REP,19
015-025,Chris Chaffee,REP,4
016-001,Chris Chaffee,REP,2
016-002,Chris Chaffee,REP,5
016-003,Chris Chaffee,REP,6
016-004,Chris Chaffee,REP,3
016-005,Chris Chaffee,REP,8
016-006,Chris Chaffee,REP,8
016-007,Chris Chaffee,REP,11
016-008,Chris Chaffee,REP,6
016-009,Chris Chaffee,REP,9
016-010,Chris Chaffee,REP,3
016-011,Chris Chaffee,REP,4
016-012,Chris Chaffee,REP,5
016-013,Chris Chaffee,REP,17
016-014,Chris Chaffee,REP,22
017-001,Chris Chaffee,REP,0
017-002,Chris Chaffee,REP,33
018-001,Chris Chaffee,REP,11
018-002,Chris Chaffee,REP,34
019-001,Chris Chaffee,REP,13
019-002,Chris Chaffee,REP,15
019-003,Chris Chaffee,REP,1
020-001,Chris Chaffee,REP,6
020-002,Chris Chaffee,REP,35
020-003,Chris Chaffee,REP,12
020-004,Chris Chaffee,REP,3
020-005,Chris Chaffee,REP,8
020-006,Chris Chaffee,REP,21
020-007,Chris Chaffee,REP,24
020-008,Chris Chaffee,REP,8
020-009,Chris Chaffee,REP,29
020-010,Chris Chaffee,REP,12
020-011,Chris Chaffee,REP,36
021-001,Chris Chaffee,REP,23
021-002,Chris Chaffee,REP,42
021-003,Chris Chaffee,REP,70
021-004,Chris Chaffee,REP,8
022-001,Chris Chaffee,REP,81
022-002,Chris Chaffee,REP,104
023-001,Chris Chaffee,REP,106
023-002,Chris Chaffee,REP,52
023-003,Chris Chaffee,REP,175
024-001,Chris Chaffee,REP,62
024-002,Chris Chaffee,REP,52
024-003,Chris Chaffee,REP,171
024-004,Chris Chaffee,REP,234
024-005,Chris Chaffee,REP,406
025-001,Chris Chaffee,REP,69
025-002,Chris Chaffee,REP,34
025-003,Chris Chaffee,REP,127
025-004,Chris Chaffee,REP,215
025-005,Chris Chaffee,REP,71
025-006,Chris Chaffee,REP,10
025-007,Chris Chaffee,REP,4
025-008,Chris Chaffee,REP,16
025-009,Chris Chaffee,REP,8
025-010,Chris Chaffee,REP,10
025-011,Chris Chaffee,REP,55
025-012,Chris Chaffee,REP,82
025-013,Chris Chaffee,REP,34
025-014,Chris Chaffee,REP,13
025-015,Chris Chaffee,REP,35
025-016,Chris Chaffee,REP,82
025-017,Chris Chaffee,REP,113
026-001,Chris Chaffee,REP,30
026-002,Chris Chaffee,REP,61
026-003,Chris Chaffee,REP,139
026-004,Chris Chaffee,REP,72
026-005,Chris Chaffee,REP,49
026-006,Chris Chaffee,REP,83
026-007,Chris Chaffee,REP,77
026-008,Chris Chaffee,REP,119
026-009,Chris Chaffee,REP,327
026-010,Chris Chaffee,REP,129
026-011,Chris Chaffee,REP,35
026-012,Chris Chaffee,REP,4
026-013,Chris Chaffee,REP,91
026-014,Chris Chaffee,REP,61
026-015,Chris Chaffee,REP,19
026-016,Chris Chaffee,REP,17
026-017,Chris Chaffee,REP,7
026-018,Chris Chaffee,REP,26
026-019,Chris Chaffee,REP,15
026-020,Chris Chaffee,REP,8
026-021,Chris Chaffee,REP,11
026-022,Chris Chaffee,REP,15
026-023,Chris Chaffee,REP,18
026-024,Chris Chaffee,REP,22
026-025,Chris Chaffee,REP,31
026-026,Chris Chaffee,REP,72
026-027,Chris Chaffee,REP,45
026-028,Chris Chaffee,REP,18
026-029,Chris Chaffee,REP,82
026-030,Chris Chaffee,REP,46
026-031,Chris Chaffee,REP,67
026-032,Chris Chaffee,REP,20
026-033,Chris Chaffee,REP,10
027-001,Chris Chaffee,REP,90
027-002,Chris Chaffee,REP,51
027-003,Chris Chaffee,REP,46
027-004,Chris Chaffee,REP,40
027-005,Chris Chaffee,REP,116
027-006,Chris Chaffee,REP,88
027-007,Chris Chaffee,REP,39
027-008,Chris Chaffee,REP,130
027-009,Chris Chaffee,REP,111
027-010,Chris Chaffee,REP,84
027-011,Chris Chaffee,REP,225
027-012,Chris Chaffee,REP,63
027-013,Chris Chaffee,REP,117
027-014,Chris Chaffee,REP,154
027-015,Chris Chaffee,REP,65
027-016,Chris Chaffee,REP,47
027-017,Chris Chaffee,REP,39
027-018,Chris Chaffee,REP,43
027-019,Chris Chaffee,REP,17
027-020,Chris Chaffee,REP,39
027-021,Chris Chaffee,REP,27
027-022,Chris Chaffee,REP,30
027-023,Chris Chaffee,REP,8
027-024,Chris Chaffee,REP,2
027-025,Chris Chaffee,REP,17
027-026,Chris Chaffee,REP,21
027-027,Chris Chaffee,REP,17
027-028,Chris Chaffee,REP,13
027-029,Chris Chaffee,REP,11
027-030,Chris Chaffee,REP,13
027-031,Chris Chaffee,REP,32
027-032,Chris Chaffee,REP,76
027-033,Chris Chaffee,REP,54
027-034,Chris Chaffee,REP,48
027-035,Chris Chaffee,REP,33
027-036,Chris Chaffee,REP,11
027-037,Chris Chaffee,REP,98
027-038,Chris Chaffee,REP,7
027-039,Chris Chaffee,REP,39
027-040,Chris Chaffee,REP,259
027-041,Chris Chaffee,REP,73
027-042,Chris Chaffee,REP,130
027-043,Chris Chaffee,REP,73
027-044,Chris Chaffee,REP,100
027-045,Chris Chaffee,REP,107
027-046,Chris Chaffee,REP,43
027-047,Chris Chaffee,REP,62
027-048,Chris Chaffee,REP,33
027-049,Chris Chaffee,REP,200
027-050,Chris Chaffee,REP,33
027-051,Chris Chaffee,REP,4
027-052,Chris Chaffee,REP,22
027-053,Chris Chaffee,REP,10
027-054,Chris Chaffee,REP,3
027-055,Chris Chaffee,REP,3
027-056,Chris Chaffee,REP,5
027-057,Chris Chaffee,REP,15
027-058,Chris Chaffee,REP,8
027-059,Chris Chaffee,REP,23
027-060,Chris Chaffee,REP,60
027-061,Chris Chaffee,REP,49
027-062,Chris Chaffee,REP,169
027-063,Chris Chaffee,REP,151
027-064,Chris Chaffee,REP,246
027-065,Chris Chaffee,REP,347
027-066,Chris Chaffee,REP,346
027-067,Chris Chaffee,REP,129
027-069,Chris Chaffee,REP,16
028-001,Chris Chaffee,REP,23
028-002,Chris Chaffee,REP,18
028-003,Chris Chaffee,REP,4
028-004,Chris Chaffee,REP,13
028-005,Chris Chaffee,REP,20
028-006,Chris Chaffee,REP,27
028-007,Chris Chaffee,REP,21
028-008,Chris Chaffee,REP,14
028-009,Chris Chaffee,REP,30
028-010,Chris Chaffee,REP,52
028-011,Chris Chaffee,REP,37
028-012,Chris Chaffee,REP,48
028-013,Chris Chaffee,REP,29
028-014,Chris Chaffee,REP,9
028-015,Chris Chaffee,REP,95
001-001,Chris Van Hollen,DEM,891
001-002,Chris Van Hollen,DEM,858
001-003,Chris Van Hollen,DEM,731
001-004,Chris Van Hollen,DEM,904
001-005,Chris Van Hollen,DEM,1237
002-001,Chris Van Hollen,DEM,473
002-002,Chris Van Hollen,DEM,717
002-003,Chris Van Hollen,DEM,965
003-001,Chris Van Hollen,DEM,187
003-002,Chris Van Hollen,DEM,121
003-003,Chris Van Hollen,DEM,839
004-001,Chris Van Hollen,DEM,557
004-002,Chris Van Hollen,DEM,638
004-003,Chris Van Hollen,DEM,129
005-001,Chris Van Hollen,DEM,187
005-002,Chris Van Hollen,DEM,44
006-001,Chris Van Hollen,DEM,23
006-002,Chris Van Hollen,DEM,393
006-003,Chris Van Hollen,DEM,133
006-004,Chris Van Hollen,DEM,483
006-005,Chris Van Hollen,DEM,1094
007-001,Chris Van Hollen,DEM,208
007-002,Chris Van Hollen,DEM,95
007-003,Chris Van Hollen,DEM,419
007-004,Chris Van Hollen,DEM,369
008-001,Chris Van Hollen,DEM,50
008-002,Chris Van Hollen,DEM,312
008-003,Chris Van Hollen,DEM,299
008-004,Chris Van Hollen,DEM,70
008-005,Chris Van Hollen,DEM,287
008-006,Chris Van Hollen,DEM,555
008-007,Chris Van Hollen,DEM,219
008-008,Chris Van Hollen,DEM,455
008-009,Chris Van Hollen,DEM,11
008-010,Chris Van Hollen,DEM,695
008-011,Chris Van Hollen,DEM,92
009-001,Chris Van Hollen,DEM,185
009-002,Chris Van Hollen,DEM,300
009-003,Chris Van Hollen,DEM,516
009-004,Chris Van Hollen,DEM,1050
009-005,Chris Van Hollen,DEM,726
009-006,Chris Van Hollen,DEM,1021
009-007,Chris Van Hollen,DEM,327
009-008,Chris Van Hollen,DEM,320
009-009,Chris Van Hollen,DEM,259
009-010,Chris Van Hollen,DEM,362
009-011,Chris Van Hollen,DEM,51
009-012,Chris Van Hollen,DEM,200
009-013,Chris Van Hollen,DEM,171
009-014,Chris Van Hollen,DEM,201
009-015,Chris Van Hollen,DEM,323
010-001,Chris Van Hollen,DEM,260
010-002,Chris Van Hollen,DEM,264
010-003,Chris Van Hollen,DEM,46
010-004,Chris Van Hollen,DEM,139
011-001,Chris Van Hollen,DEM,706
011-002,Chris Van Hollen,DEM,184
011-003,Chris Van Hollen,DEM,654
011-004,Chris Van Hollen,DEM,44
011-005,Chris Van Hollen,DEM,676
011-006,Chris Van Hollen,DEM,686
011-007,Chris Van Hollen,DEM,608
011-008,Chris Van Hollen,DEM,0
012-001,Chris Van Hollen,DEM,1407
012-002,Chris Van Hollen,DEM,123
012-003,Chris Van Hollen,DEM,343
012-004,Chris Van Hollen,DEM,498
012-005,Chris Van Hollen,DEM,535
012-006,Chris Van Hollen,DEM,442
012-007,Chris Van Hollen,DEM,544
012-008,Chris Van Hollen,DEM,1292
012-009,Chris Van Hollen,DEM,89
012-010,Chris Van Hollen,DEM,472
012-011,Chris Van Hollen,DEM,183
012-012,Chris Van Hollen,DEM,631
013-001,Chris Van Hollen,DEM,531
013-002,Chris Van Hollen,DEM,890
013-003,Chris Van Hollen,DEM,340
013-004,Chris Van Hollen,DEM,1290
013-005,Chris Van Hollen,DEM,493
013-006,Chris Van Hollen,DEM,151
013-007,Chris Van Hollen,DEM,262
013-008,Chris Van Hollen,DEM,559
013-009,Chris Van Hollen,DEM,389
013-010,Chris Van Hollen,DEM,567
013-011,Chris Van Hollen,DEM,1379
013-012,Chris Van Hollen,DEM,752
014-001,Chris Van Hollen,DEM,430
014-002,Chris Van Hollen,DEM,369
014-003,Chris Van Hollen,DEM,147
014-004,Chris Van Hollen,DEM,642
014-005,Chris Van Hollen,DEM,112
015-001,Chris Van Hollen,DEM,424
015-002,Chris Van Hollen,DEM,296
015-003,Chris Van Hollen,DEM,625
015-004,Chris Van Hollen,DEM,335
015-005,Chris Van Hollen,DEM,509
015-006,Chris Van Hollen,DEM,544
015-007,Chris Van Hollen,DEM,402
015-008,Chris Van Hollen,DEM,314
015-009,Chris Van Hollen,DEM,743
015-010,Chris Van Hollen,DEM,478
015-011,Chris Van Hollen,DEM,329
015-012,Chris Van Hollen,DEM,48
015-013,Chris Van Hollen,DEM,150
015-014,Chris Van Hollen,DEM,382
015-015,Chris Van Hollen,DEM,174
015-016,Chris Van Hollen,DEM,158
015-017,Chris Van Hollen,DEM,282
015-018,Chris Van Hollen,DEM,421
015-019,Chris Van Hollen,DEM,36
015-020,Chris Van Hollen,DEM,457
015-021,Chris Van Hollen,DEM,308
015-022,Chris Van Hollen,DEM,278
015-023,Chris Van Hollen,DEM,328
015-024,Chris Van Hollen,DEM,417
015-025,Chris Van Hollen,DEM,131
016-001,Chris Van Hollen,DEM,129
016-002,Chris Van Hollen,DEM,239
016-003,Chris Van Hollen,DEM,127
016-004,Chris Van Hollen,DEM,76
016-005,Chris Van Hollen,DEM,385
016-006,Chris Van Hollen,DEM,392
016-007,Chris Van Hollen,DEM,340
016-008,Chris Van Hollen,DEM,203
016-009,Chris Van Hollen,DEM,267
016-010,Chris Van Hollen,DEM,173
016-011,Chris Van Hollen,DEM,145
016-012,Chris Van Hollen,DEM,333
016-013,Chris Van Hollen,DEM,351
016-014,Chris Van Hollen,DEM,779
017-001,Chris Van Hollen,DEM,38
017-002,Chris Van Hollen,DEM,628
018-001,Chris Van Hollen,DEM,188
018-002,Chris Van Hollen,DEM,400
019-001,Chris Van Hollen,DEM,221
019-002,Chris Van Hollen,DEM,208
019-003,Chris Van Hollen,DEM,27
020-001,Chris Van Hollen,DEM,302
020-002,Chris Van Hollen,DEM,280
020-003,Chris Van Hollen,DEM,303
020-004,Chris Van Hollen,DEM,50
020-005,Chris Van Hollen,DEM,233
020-006,Chris Van Hollen,DEM,766
020-007,Chris Van Hollen,DEM,480
020-008,Chris Van Hollen,DEM,150
020-009,Chris Van Hollen,DEM,102
020-010,Chris Van Hollen,DEM,61
020-011,Chris Van Hollen,DEM,138
021-001,Chris Van Hollen,DEM,318
021-002,Chris Van Hollen,DEM,535
021-003,Chris Van Hollen,DEM,490
021-004,Chris Van Hollen,DEM,135
022-001,Chris Van Hollen,DEM,553
022-002,Chris Van Hollen,DEM,791
023-001,Chris Van Hollen,DEM,528
023-002,Chris Van Hollen,DEM,395
023-003,Chris Van Hollen,DEM,766
024-001,Chris Van Hollen,DEM,320
024-002,Chris Van Hollen,DEM,397
024-003,Chris Van Hollen,DEM,800
024-004,Chris Van Hollen,DEM,1024
024-005,Chris Van Hollen,DEM,1722
025-001,Chris Van Hollen,DEM,957
025-002,Chris Van Hollen,DEM,499
025-003,Chris Van Hollen,DEM,220
025-004,Chris Van Hollen,DEM,329
025-005,Chris Van Hollen,DEM,363
025-006,Chris Van Hollen,DEM,212
025-007,Chris Van Hollen,DEM,85
025-008,Chris Van Hollen,DEM,343
025-009,Chris Van Hollen,DEM,230
025-010,Chris Van Hollen,DEM,276
025-011,Chris Van Hollen,DEM,92
025-012,Chris Van Hollen,DEM,144
025-013,Chris Van Hollen,DEM,88
025-014,Chris Van Hollen,DEM,128
025-015,Chris Van Hollen,DEM,162
025-016,Chris Van Hollen,DEM,200
025-017,Chris Van Hollen,DEM,284
026-001,Chris Van Hollen,DEM,34
026-002,Chris Van Hollen,DEM,228
026-003,Chris Van Hollen,DEM,186
026-004,Chris Van Hollen,DEM,139
026-005,Chris Van Hollen,DEM,108
026-006,Chris Van Hollen,DEM,157
026-007,Chris Van Hollen,DEM,390
026-008,Chris Van Hollen,DEM,585
026-009,Chris Van Hollen,DEM,1210
026-010,Chris Van Hollen,DEM,678
026-011,Chris Van Hollen,DEM,181
026-012,Chris Van Hollen,DEM,62
026-013,Chris Van Hollen,DEM,78
026-014,Chris Van Hollen,DEM,91
026-015,Chris Van Hollen,DEM,425
026-016,Chris Van Hollen,DEM,377
026-017,Chris Van Hollen,DEM,117
026-018,Chris Van Hollen,DEM,532
026-019,Chris Van Hollen,DEM,380
026-020,Chris Van Hollen,DEM,234
026-021,Chris Van Hollen,DEM,218
026-022,Chris Van Hollen,DEM,236
026-023,Chris Van Hollen,DEM,261
026-024,Chris Van Hollen,DEM,574
026-025,Chris Van Hollen,DEM,319
026-026,Chris Van Hollen,DEM,500
026-027,Chris Van Hollen,DEM,495
026-028,Chris Van Hollen,DEM,396
026-029,Chris Van Hollen,DEM,1161
026-030,Chris Van Hollen,DEM,320
026-031,Chris Van Hollen,DEM,252
026-032,Chris Van Hollen,DEM,477
026-033,Chris Van Hollen,DEM,282
027-001,Chris Van Hollen,DEM,768
027-002,Chris Van Hollen,DEM,371
027-003,Chris Van Hollen,DEM,422
027-004,Chris Van Hollen,DEM,229
027-005,Chris Van Hollen,DEM,904
027-006,Chris Van Hollen,DEM,979
027-007,Chris Van Hollen,DEM,317
027-008,Chris Van Hollen,DEM,770
027-009,Chris Van Hollen,DEM,536
027-010,Chris Van Hollen,DEM,228
027-011,Chris Van Hollen,DEM,780
027-012,Chris Van Hollen,DEM,191
027-013,Chris Van Hollen,DEM,703
027-014,Chris Van Hollen,DEM,963
027-015,Chris Van Hollen,DEM,709
027-016,Chris Van Hollen,DEM,355
027-017,Chris Van Hollen,DEM,498
027-018,Chris Van Hollen,DEM,566
027-019,Chris Van Hollen,DEM,353
027-020,Chris Van Hollen,DEM,907
027-021,Chris Van Hollen,DEM,731
027-022,Chris Van Hollen,DEM,1015
027-023,Chris Van Hollen,DEM,232
027-024,Chris Van Hollen,DEM,158
027-025,Chris Van Hollen,DEM,430
027-026,Chris Van Hollen,DEM,476
027-027,Chris Van Hollen,DEM,617
027-028,Chris Van Hollen,DEM,438
027-029,Chris Van Hollen,DEM,247
027-030,Chris Van Hollen,DEM,452
027-031,Chris Van Hollen,DEM,764
027-032,Chris Van Hollen,DEM,1001
027-033,Chris Van Hollen,DEM,865
027-034,Chris Van Hollen,DEM,609
027-035,Chris Van Hollen,DEM,748
027-036,Chris Van Hollen,DEM,211
027-037,Chris Van Hollen,DEM,840
027-038,Chris Van Hollen,DEM,43
027-039,Chris Van Hollen,DEM,239
027-040,Chris Van Hollen,DEM,1136
027-041,Chris Van Hollen,DEM,670
027-042,Chris Van Hollen,DEM,896
027-043,Chris Van Hollen,DEM,467
027-044,Chris Van Hollen,DEM,704
027-045,Chris Van Hollen,DEM,1043
027-046,Chris Van Hollen,DEM,463
027-047,Chris Van Hollen,DEM,558
027-048,Chris Van Hollen,DEM,494
027-049,Chris Van Hollen,DEM,1640
027-050,Chris Van Hollen,DEM,709
027-051,Chris Van Hollen,DEM,67
027-052,Chris Van Hollen,DEM,632
027-053,Chris Van Hollen,DEM,353
027-054,Chris Van Hollen,DEM,152
027-055,Chris Van Hollen,DEM,125
027-056,Chris Van Hollen,DEM,199
027-057,Chris Van Hollen,DEM,466
027-058,Chris Van Hollen,DEM,188
027-059,Chris Van Hollen,DEM,363
027-060,Chris Van Hollen,DEM,497
027-061,Chris Van Hollen,DEM,239
027-062,Chris Van Hollen,DEM,582
027-063,Chris Van Hollen,DEM,556
027-064,Chris Van Hollen,DEM,541
027-065,Chris Van Hollen,DEM,854
027-066,Chris Van Hollen,DEM,627
027-067,Chris Van Hollen,DEM,608
027-069,Chris Van Hollen,DEM,65
028-001,Chris Van Hollen,DEM,414
028-002,Chris Van Hollen,DEM,702
028-003,Chris Van Hollen,DEM,156
028-004,Chris Van Hollen,DEM,218
028-005,Chris Van Hollen,DEM,520
028-006,Chris Van Hollen,DEM,780
028-007,Chris Van Hollen,DEM,399
028-008,Chris Van Hollen,DEM,474
028-009,Chris Van Hollen,DEM,595
028-010,Chris Van Hollen,DEM,752
028-011,Chris Van Hollen,DEM,749
028-012,Chris Van Hollen,DEM,582
028-013,Chris Van Hollen,DEM,548
028-014,Chris Van Hollen,DEM,165
028-015,Chris Van Hollen,DEM,611
001-001,WRITE-IN,NA,2
001-002,WRITE-IN,NA,4
001-003,WRITE-IN,NA,1
001-004,WRITE-IN,NA,0
001-005,WRITE-IN,NA,3
002-001,WRITE-IN,NA,0
002-002,WRITE-IN,NA,4
002-003,WRITE-IN,NA,1
003-001,WRITE-IN,NA,0
003-002,WRITE-IN,NA,1
003-003,WRITE-IN,NA,2
004-001,WRITE-IN,NA,5
004-002,WRITE-IN,NA,1
004-003,WRITE-IN,NA,1
005-001,WRITE-IN,NA,1
005-002,WRITE-IN,NA,0
006-001,WRITE-IN,NA,0
006-002,WRITE-IN,NA,2
006-003,WRITE-IN,NA,0
006-004,WRITE-IN,NA,6
006-005,WRITE-IN,NA,1
007-001,WRITE-IN,NA,0
007-002,WRITE-IN,NA,0
007-003,WRITE-IN,NA,0
007-004,WRITE-IN,NA,2
008-001,WRITE-IN,NA,0
008-002,WRITE-IN,NA,0
008-003,WRITE-IN,NA,0
008-004,WRITE-IN,NA,0
008-005,WRITE-IN,NA,1
008-006,WRITE-IN,NA,1
008-007,WRITE-IN,NA,0
008-008,WRITE-IN,NA,1
008-009,WRITE-IN,NA,0
008-010,WRITE-IN,NA,2
008-011,WRITE-IN,NA,0
009-001,WRITE-IN,NA,0
009-002,WRITE-IN,NA,2
009-003,WRITE-IN,NA,0
009-004,WRITE-IN,NA,3
009-005,WRITE-IN,NA,1
009-006,WRITE-IN,NA,0
009-007,WRITE-IN,NA,0
009-008,WRITE-IN,NA,1
009-009,WRITE-IN,NA,0
009-010,WRITE-IN,NA,4
009-011,WRITE-IN,NA,0
009-012,WRITE-IN,NA,0
009-013,WRITE-IN,NA,0
009-014,WRITE-IN,NA,2
009-015,WRITE-IN,NA,2
010-001,WRITE-IN,NA,0
010-002,WRITE-IN,NA,0
010-003,WRITE-IN,NA,0
010-004,WRITE-IN,NA,0
011-001,WRITE-IN,NA,4
011-002,WRITE-IN,NA,1
011-003,WRITE-IN,NA,1
011-004,WRITE-IN,NA,0
011-005,WRITE-IN,NA,0
011-006,WRITE-IN,NA,1
011-007,WRITE-IN,NA,0
011-008,WRITE-IN,NA,0
012-001,WRITE-IN,NA,4
012-002,WRITE-IN,NA,0
012-003,WRITE-IN,NA,2
012-004,WRITE-IN,NA,0
012-005,WRITE-IN,NA,3
012-006,WRITE-IN,NA,3
012-007,WRITE-IN,NA,3
012-008,WRITE-IN,NA,6
012-009,WRITE-IN,NA,0
012-010,WRITE-IN,NA,2
012-011,WRITE-IN,NA,1
012-012,WRITE-IN,NA,2
013-001,WRITE-IN,NA,0
013-002,WRITE-IN,NA,1
013-003,WRITE-IN,NA,3
013-004,WRITE-IN,NA,4
013-005,WRITE-IN,NA,1
013-006,WRITE-IN,NA,1
013-007,WRITE-IN,NA,1
013-008,WRITE-IN,NA,3
013-009,WRITE-IN,NA,1
013-010,WRITE-IN,NA,3
013-011,WRITE-IN,NA,1
013-012,WRITE-IN,NA,0
014-001,WRITE-IN,NA,0
014-002,WRITE-IN,NA,2
014-003,WRITE-IN,NA,0
014-004,WRITE-IN,NA,2
014-005,WRITE-IN,NA,0
015-001,WRITE-IN,NA,3
015-002,WRITE-IN,NA,1
015-003,WRITE-IN,NA,2
015-004,WRITE-IN,NA,1
015-005,WRITE-IN,NA,1
015-006,WRITE-IN,NA,1
015-007,WRITE-IN,NA,1
015-008,WRITE-IN,NA,0
015-009,WRITE-IN,NA,1
015-010,WRITE-IN,NA,0
015-011,WRITE-IN,NA,1
015-012,WRITE-IN,NA,0
015-013,WRITE-IN,NA,1
015-014,WRITE-IN,NA,0
015-015,WRITE-IN,NA,0
015-016,WRITE-IN,NA,0
015-017,WRITE-IN,NA,0
015-018,WRITE-IN,NA,0
015-019,WRITE-IN,NA,0
015-020,WRITE-IN,NA,3
015-021,WRITE-IN,NA,2
015-022,WRITE-IN,NA,0
015-023,WRITE-IN,NA,0
015-024,WRITE-IN,NA,0
015-025,WRITE-IN,NA,0
016-001,WRITE-IN,NA,1
016-002,WRITE-IN,NA,0
016-003,WRITE-IN,NA,1
016-004,WRITE-IN,NA,0
016-005,WRITE-IN,NA,1
016-006,WRITE-IN,NA,1
016-007,WRITE-IN,NA,0
016-008,WRITE-IN,NA,0
016-009,WRITE-IN,NA,0
016-010,WRITE-IN,NA,1
016-011,WRITE-IN,NA,0
016-012,WRITE-IN,NA,1
016-013,WRITE-IN,NA,0
016-014,WRITE-IN,NA,1
017-001,WRITE-IN,NA,0
017-002,WRITE-IN,NA,0
018-001,WRITE-IN,NA,1
018-002,WRITE-IN,NA,0
019-001,WRITE-IN,NA,0
019-002,WRITE-IN,NA,1
019-003,WRITE-IN,NA,0
020-001,WRITE-IN,NA,0
020-002,WRITE-IN,NA,0
020-003,WRITE-IN,NA,0
020-004,WRITE-IN,NA,0
020-005,WRITE-IN,NA,0
020-006,WRITE-IN,NA,0
020-007,WRITE-IN,NA,1
020-008,WRITE-IN,NA,1
020-009,WRITE-IN,NA,0
020-010,WRITE-IN,NA,0
020-011,WRITE-IN,NA,0
021-001,WRITE-IN,NA,0
021-002,WRITE-IN,NA,2
021-003,WRITE-IN,NA,2
021-004,WRITE-IN,NA,0
022-001,WRITE-IN,NA,0
022-002,WRITE-IN,NA,0
023-001,WRITE-IN,NA,0
023-002,WRITE-IN,NA,0
023-003,WRITE-IN,NA,1
