"","PRECINCT","COUNCILMANIC_DISTRICTS","LEGISLATIVE_DISTRICTS","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"84",16014,"008","41",519,274,3,NA,25,59,111,115,178,308
"85",17001,"011","40",26,14,1,NA,1,5,5,2,9,19
"86",17002,"011","40",368,246,5,NA,17,80,86,92,151,193
"87",18001,"009","40",134,66,1,NA,4,18,21,36,73,49
"88",18002,"009","40",219,200,1,NA,12,98,88,58,83,81
"89",19001,"009","40",132,85,NA,NA,8,14,32,36,56,71
"90",19002,"009","40",201,174,2,NA,9,58,74,69,82,85
"91",19003,"009","40",25,19,NA,NA,NA,2,4,2,9,27
"92",20001,"009","40",181,117,1,NA,6,25,32,39,84,113
"93",20002,"009","40",68,49,NA,NA,NA,3,17,18,33,46
"94",20003,"009","40",207,110,1,NA,4,20,30,29,81,154
"95",20004,"009","40",27,24,NA,NA,1,4,5,7,12,22
"96",20005,"009","40",138,78,1,NA,10,15,21,38,54,79
"97",20006,"008","41",536,262,NA,NA,16,52,77,83,215,355
"98",20007,"008","41",296,170,NA,NA,9,39,48,64,124,182
"99",20008,"008","41",100,57,NA,NA,5,13,13,24,45,57
"100",20009,"010","40",68,55,NA,NA,1,14,20,16,25,47
"101",2001,"013","46",224,214,3,NA,23,184,88,46,36,64
"102",20010,"009","40",46,24,NA,NA,3,4,6,6,18,33
"103",20011,"009","40",75,76,NA,NA,4,9,20,30,40,48
"104",2002,"001","46",368,352,4,NA,42,286,178,77,73,68
"105",2003,"001","46",531,481,7,NA,48,317,190,118,133,213
"106",21001,"011","46",171,149,3,NA,32,140,72,27,29,23
"107",21002,"010","40",287,276,3,NA,20,170,123,52,84,117
"108",21003,"010","40",274,242,2,NA,20,146,120,74,93,65
"109",21004,"010","46",63,64,NA,NA,3,42,41,10,14,17
"110",22001,"011","46",322,256,2,NA,16,114,56,29,58,307
"111",22002,"011","46",415,420,3,NA,31,174,169,80,144,240
"112",23001,"011","46",251,282,3,NA,53,240,81,78,35,49
"113",23002,"011","46",226,202,3,NA,55,181,76,42,44,33
"114",23003,"011","46",413,419,4,NA,75,405,155,56,73,72
"115",24001,"011","46",171,184,1,NA,17,87,53,33,67,99
"116",24002,"011","46",196,201,2,NA,34,158,86,41,44,36
"117",24003,"011","46",511,443,1,NA,24,262,182,136,161,190
"118",24004,"011","46",653,617,5,NA,54,522,329,138,107,125
"119",24005,"011","46",1024,986,7,NA,65,674,531,279,224,244
"120",25001,"008","41",634,350,2,NA,38,106,152,142,232,316
"121",25002,"008","41",355,168,2,NA,22,42,77,94,119,171
"122",25003,"010","40",195,139,NA,NA,13,54,53,62,67,85
"123",25004,"010","40",297,250,1,NA,22,45,81,89,132,179
"124",25005,"010","46",247,171,2,NA,19,38,44,63,104,152
"125",25006,"010","46",145,71,NA,NA,4,22,25,32,59,74
"126",25007,"010","46",55,34,NA,NA,4,12,13,9,34,17
"127",25008,"010","46",240,111,2,NA,19,45,51,46,90,102
"128",25009,"010","46",169,63,1,NA,4,17,30,24,54,104
"129",25010,"010","46",186,102,2,NA,15,20,37,44,78,96
"130",25011,"010","46",82,68,NA,NA,4,11,13,25,41,56
"131",25012,"010","46",125,97,1,NA,11,18,33,43,59,59
"132",25013,"010","46",65,59,NA,NA,4,13,25,21,29,32
"133",25014,"010","46",86,51,NA,NA,4,19,26,33,27,28
"134",25015,"010","46",96,74,2,NA,9,18,29,24,51,41
"135",25016,"010","46",156,123,1,NA,5,21,41,51,79,83
"136",25017,"010","41",235,164,1,NA,11,37,74,49,71,158
"137",26001,"001","46",30,30,NA,NA,NA,12,8,4,16,20
"138",26002,"001","46",163,124,1,NA,9,36,40,33,83,87
"139",26003,"001","46",176,146,NA,NA,15,23,27,25,81,151
"140",26004,"001","46",106,81,NA,NA,3,15,24,22,40,83
"141",26005,"001","46",86,67,NA,NA,7,26,17,19,29,55
"142",26006,"001","46",116,108,NA,NA,12,36,33,32,48,63
"143",26007,"001","46",243,209,1,NA,12,184,135,40,40,42
"144",26008,"001","46",376,275,1,NA,18,318,126,65,54,71
"145",26009,"001","46",747,687,6,NA,41,590,394,146,119,150
"146",26010,"001","46",411,337,1,NA,17,280,204,81,77,90
"147",26011,"002","46",113,122,NA,NA,10,48,52,22,37,66
"148",26012,"013","46",40,17,NA,NA,4,6,4,10,13,20
"149",26013,"013","45",91,82,NA,NA,4,14,21,25,40,69
"150",26014,"002","45",81,65,NA,NA,10,15,19,18,27,57
"151",26015,"002","45",275,147,NA,NA,18,30,72,61,93,148
"152",26016,"002","45",241,118,NA,NA,9,20,49,57,82,142
"153",26017,"013","45",78,37,2,NA,5,14,22,20,36,20
"154",26018,"013","45",234,129,1,NA,14,30,45,49,89,137
"155",26019,"013","45",248,150,NA,NA,4,23,47,67,106,151
"156",26020,"013","45",118,55,NA,NA,14,11,22,17,51,58
"157",26021,"013","45",162,79,1,NA,7,17,52,35,53,78
"158",26022,"002","45",142,73,NA,NA,6,18,38,33,45,75
"159",26023,"002","45",200,89,NA,NA,13,21,45,47,77,86
"160",26024,"002","45",406,210,NA,NA,12,40,73,90,172,229
"161",26025,"002","45",211,137,1,NA,22,20,36,47,105,119
"162",26026,"002","45",356,218,1,NA,27,60,91,107,143,147
"163",26027,"002","45",327,191,NA,NA,16,39,55,85,147,176
"164",26028,"002","45",265,145,NA,NA,17,40,44,65,91,153
"165",26029,"002","45",782,462,2,NA,45,97,160,208,295,441
"166",26030,"002","45",219,139,1,NA,16,35,65,63,80,100
"167",26031,"002","45",175,134,2,NA,14,35,54,43,72,93
"168",26032,"013","45",333,180,NA,NA,12,41,55,94,154,157
"169",26033,"013","45",327,144,3,NA,11,32,58,68,128,177
"170",27001,"003","45",512,340,2,NA,26,75,132,183,192,246
"171",27002,"003","45",233,172,1,NA,18,48,66,72,78,124
"172",27003,"003","45",228,162,NA,NA,11,47,68,65,91,108
"173",27004,"003","45",146,114,NA,NA,9,37,60,47,49,58
"174",27005,"003","45",590,430,2,NA,41,120,226,178,215,242
"175",27006,"002","45",698,404,NA,NA,35,106,163,222,251,325
"176",27007,"002","45",247,128,NA,NA,9,31,66,56,87,126
"177",27008,"002","45",534,349,1,NA,26,77,149,165,218,249
"178",27009,"003","45",376,271,NA,NA,23,62,131,127,135,169
"179",27010,"002","45",168,143,1,NA,16,33,57,54,66,86
"180",27011,"003","45",573,422,1,NA,51,102,188,201,210,244
"181",27012,"003","45",147,106,NA,NA,6,38,45,47,52,65
"182",27013,"003","45",473,324,NA,NA,33,86,124,134,209,211
"183",27014,"003","45",684,462,2,NA,59,150,245,209,211,274
"184",27015,"003","45",465,288,NA,NA,33,68,96,123,166,267
"185",27016,"003","45",197,131,1,NA,7,35,66,55,59,107
"186",27017,"003","43A",338,258,1,NA,22,67,101,88,109,210
"187",27018,"003","45",410,277,1,NA,30,72,153,114,137,182
"188",27019,"004","45",253,123,NA,NA,12,34,43,51,92,144
"189",27020,"004","43A",632,286,1,NA,46,75,129,130,195,344
"190",27021,"004","43A",495,250,1,NA,36,65,102,118,156,269
"191",27022,"003","43A",693,327,NA,NA,28,66,124,106,191,505
"192",27023,"003","43A",160,80,NA,NA,9,17,29,37,48,100
"193",27024,"003","43A",104,55,NA,NA,12,12,23,18,32,62
"194",27025,"003","43A",301,133,1,NA,9,37,46,54,84,205
"195",27026,"003","43A",216,161,NA,NA,13,37,70,60,73,124
"196",27027,"004","43A",374,178,1,NA,19,46,68,70,127,223
"197",27028,"004","43A",285,143,1,NA,10,33,53,56,91,186
"198",27029,"004","43A",166,94,NA,NA,7,20,23,39,62,109
"199",27030,"004","43A",304,176,NA,NA,16,42,39,65,123,195
"200",27031,"004","43A",524,258,1,NA,22,57,102,88,215,299
"201",27032,"004","43A",630,434,NA,NA,53,111,154,185,226,335
"202",27033,"004","43A",581,344,1,NA,26,103,144,142,171,340
"203",27034,"004","43A",393,240,2,NA,24,67,95,87,153,209
"204",27035,"004","43A",534,258,1,NA,28,67,107,102,177,312
"205",27036,"004","43A",149,79,1,NA,9,20,32,24,50,94
"206",27037,"004","43A",525,383,1,NA,37,76,143,159,200,294
"207",27038,"004","43A",14,15,NA,NA,4,4,NA,5,3,13
"208",27039,"004","43A",147,130,NA,NA,13,28,48,52,68,68
"209",27040,"004","41",720,676,6,NA,58,105,285,294,254,406
"210",27041,"004","43A",405,325,1,1,28,75,149,145,127,206
"211",27042,"005","41",529,494,1,NA,50,74,142,172,196,390
"212",27043,"006","41",376,184,1,NA,11,19,38,38,86,369
"213",27044,"006","41",414,363,1,NA,28,63,145,149,169,224
"214",27045,"006","41",636,513,3,NA,67,59,183,228,242,373
"215",27046,"014","41",276,216,2,NA,18,33,85,83,85,190
"216",27047,"007","41",336,269,4,NA,18,129,164,107,74,117
"217",27048,"006","41",338,198,1,NA,21,63,65,58,87,243
"218",27049,"005","41",1030,788,2,NA,76,148,283,332,319,662
"219",27050,"005","41",415,315,2,NA,27,82,140,154,121,208
"220",27051,"005","41",36,23,NA,NA,2,1,3,4,9,40
"221",27052,"006","41",467,238,1,NA,21,56,89,100,149,291
"222",27053,"006","40",231,113,NA,NA,5,29,35,58,86,131
"223",27054,"006","40",99,50,1,NA,7,10,17,14,31,71
"224",27055,"006","41",58,38,NA,NA,2,7,10,14,28,35
"225",27056,"006","41",118,59,NA,NA,5,13,18,22,32,87
"226",27057,"005","41",313,178,NA,NA,13,18,48,67,105,240
"227",27058,"006","41",99,51,1,NA,2,10,15,21,45,58
"228",27059,"005","41",159,90,1,NA,15,9,21,32,71,102
"229",27060,"005","41",346,202,5,NA,19,38,51,71,123,251
"230",27061,"005","41",146,110,1,NA,18,17,29,31,57,105
"231",27062,"005","41",439,304,3,NA,26,80,68,74,105,393
"232",27063,"005","41",424,270,2,NA,37,60,92,95,158,254
"233",27064,"005","41",411,374,3,NA,64,108,120,118,145,233
"234",27065,"005","41",679,501,4,NA,64,185,136,96,173,530
"235",27066,"005","41",551,448,NA,NA,57,113,131,105,154,439
"236",27067,"005","41",440,278,1,NA,34,90,98,70,151,276
"237",27069,"014","41",38,40,NA,NA,3,7,8,17,12,31
"238",28001,"005","41",274,164,1,NA,7,38,40,57,115,182
"239",28002,"005","41",510,235,NA,NA,15,57,62,86,163,362
"240",28003,"006","41",96,68,NA,NA,2,13,20,22,45,62
"241",28004,"005","41",149,80,NA,NA,4,19,17,37,53,99
"242",28005,"005","41",355,188,1,NA,22,51,52,65,112,242
"243",28006,"008","41",523,305,2,NA,27,71,85,119,175,353
"244",28007,"008","41",274,145,1,NA,15,25,45,69,97,169
"245",28008,"008","41",304,208,1,NA,17,43,75,75,123,180
"246",28009,"008","41",361,235,2,NA,13,87,92,79,137,190
"247",28010,"008","41",519,294,NA,NA,23,78,73,112,189,338
"248",28011,"008","41",490,294,1,NA,34,68,89,118,178,298
"249",28012,"008","41",361,271,4,NA,12,57,114,99,156,198
"250",28013,"008","41",297,151,2,NA,12,28,50,59,92,209
"251",28014,"008","41",109,61,1,NA,4,9,16,21,54,67
"252",28015,"008","41",396,295,1,NA,29,100,113,100,135,215
"253",3001,"012","46",93,80,2,NA,6,46,28,21,30,44
"254",3002,"012","46",67,69,1,NA,1,35,29,16,30,26
"255",3003,"001","46",458,455,5,NA,34,282,130,119,148,205
"256",4001,"011","46",281,258,7,NA,46,196,110,70,72,52
"257",4002,"011","40",283,264,9,NA,65,183,105,66,84,53
"258",4003,"011","40",84,34,1,NA,4,5,6,16,26,62
"259",5001,"012","46",128,64,1,NA,2,11,22,25,50,83
"260",5002,"012","45",22,22,NA,NA,NA,2,2,6,15,19
"261",6001,"013","46",6,3,NA,NA,NA,2,2,3,NA,2
"262",6002,"013","45",231,139,4,NA,15,108,64,36,76,75
"263",6003,"013","45",85,52,1,NA,3,21,10,12,30,62
"264",6004,"013","46",270,203,4,NA,18,170,99,51,55,84
"265",6005,"001","46",641,495,5,NA,34,433,342,135,98,99
"266",7001,"012","45",139,65,NA,NA,6,20,32,34,42,70
"267",7002,"013","45",55,25,1,NA,4,18,22,9,9,19
"268",7003,"013","45",269,154,2,NA,16,70,64,72,67,136
"269",7004,"013","45",238,143,NA,NA,5,39,39,50,104,144
"270",8001,"003","45",21,25,NA,NA,4,4,5,11,10,12
"271",8002,"013","45",220,110,NA,NA,13,31,49,57,89,91
"272",8003,"013","45",200,114,1,NA,12,11,34,56,80,122
"273",8004,"014","45",40,19,1,NA,1,4,8,7,13,27
"274",8005,"012","45",187,119,NA,NA,6,22,29,44,87,118
"275",8006,"012","45",361,194,NA,NA,19,60,93,74,124,185
"276",8007,"013","45",136,84,3,NA,7,18,22,35,69,72
"277",8008,"003","45",274,242,1,NA,18,63,93,93,108,142
"278",8009,"003","45",8,5,NA,NA,NA,3,2,2,2,4
"279",8010,"013","45",475,235,1,NA,23,48,66,70,183,321
"280",8011,"013","45",51,41,NA,NA,2,4,8,12,24,42
"281",9001,"004","43A",107,58,1,NA,4,33,20,26,43,40
"282",9002,"004","43A",180,125,1,NA,11,48,58,28,72,89
"283",9003,"014","43A",314,205,1,NA,17,111,118,56,93,125
"284",9004,"014","43A",702,416,3,NA,26,150,197,150,165,433
"285",9005,"014","43A",487,290,1,NA,19,80,143,120,130,286
"286",9006,"014","43A",627,359,1,NA,39,68,116,134,227,403
"287",9007,"014","45",216,145,NA,NA,10,38,50,63,85,115
"288",9008,"014","45",195,116,NA,NA,7,13,42,27,87,135
"289",9009,"014","43A",156,92,NA,NA,3,29,31,32,61,92
"290",9010,"014","43A",230,138,1,NA,15,62,71,57,78,86
"291",9011,"014","43A",32,21,NA,NA,NA,7,14,6,16,10
"292",9012,"014","43A",132,87,NA,NA,6,12,20,35,69,77
"293",9013,"012","45",102,57,1,NA,2,14,14,19,42,69
"294",9014,"012","43A",129,84,1,NA,2,15,27,31,49,90
"295",9015,"012","45",202,121,NA,NA,8,28,36,35,95,121
